Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
operating,pose,"a surgeon, a brain surgeon, a neurosurgeon, a dentist, surgeons, brain surgeons","surgery, a scalpel, a syringe, an injection, a jab, a welcome dose, a vaccination, a vaccine, a needle, a vaxxer, a booster shot,  insulin, medicine","in an operating theater, in an operating theatre, of body parts, performing an abortion, of plastic surgery, funding a cure for malaria, to inject","regaining consciousness, fainting, rumbling","operating a surgeon, a brain surgeon, a neurosurgeon, a dentist, surgeons, brain surgeons surgery, a scalpel, a syringe, an injection, a jab, a welcome dose, a vaccination, a vaccine, a needle, a vaxxer, a booster shot,  insulin, medicine in an operating theater, in an operating theatre, of body parts, performing an abortion, of plastic surgery, funding a cure for malaria, to inject"
stargazing,pose,"a star gazer, an astronomer, a physicist, a scientist, a stargazer, scientists","a telescope, astronomy, the stars, a constellation, a kaleidoscope","of astronomy, of the stars, of astrobiology, of space weather, in a constellation, of stars, of clear vision, of tremendous vision, of remarkable vision, filled with stars, under the stars, in the Big Dipper, of the Big Dipper, in the night sky, promoting Heliocentrism, studying the cosmos, staring at the moon",towering,"stargazing a star gazer, an astronomer, a physicist, a scientist, a stargazer, scientists a telescope, astronomy, the stars, a constellation, a kaleidoscope of astronomy, of the stars, of astrobiology, of space weather, in a constellation, of stars, of clear vision, of tremendous vision, of remarkable vision, filled with stars, under the stars, in the Big Dipper, of the Big Dipper, in the night sky, promoting Heliocentrism, studying the cosmos, staring at the moon"
foreboding,pose,"a worrier, a pessimist, a prophet of doom","a worry, a premonition, a pall, a moan, a groan, a downpour, a future threat, a heavy cloud, a huge cloud, a a rain cloud, a a raincloud, a cloud, a storm cloud","of despair, of bad news, of woes, in crisis, with a leaky roof, with moisture problems, from daily pressures, in a midlife crisis, of growing urgency, complaining about life, moaning about life","using umbrella, shielding with umbrella","foreboding a worrier, a pessimist, a prophet of doom a worry, a premonition, a pall, a moan, a groan, a downpour, a future threat, a heavy cloud, a huge cloud, a a rain cloud, a a raincloud, a cloud, a storm cloud of despair, of bad news, of woes, in crisis, with a leaky roof, with moisture problems, from daily pressures, in a midlife crisis, of growing urgency, complaining about life, moaning about life"
airport,setting,an airport,"a holiday, a destination, a flight, an airplane, an aeroplane, a plane, a passport, a jet, a long flight, travel","in an airport, at the airport, of global proportions, building airplanes","visiting, pointing","airport an airport a holiday, a destination, a flight, an airplane, an aeroplane, a plane, a passport, a jet, a long flight, travel in an airport, at the airport, of global proportions, building airplanes"
art studio,setting,"a studio, an art studio, a museum","a gallery, a studio, art, artists, artistry, artworks, an artwork, the art world, art","in the studio, in a studio, for art lovers, filled with antiques, in the Louvre, in a gallery, of artistic treasures",painting,"art studio a studio, an art studio, a museum a gallery, a studio, art, artists, artistry, artworks, an artwork, the art world, art in the studio, in a studio, for art lovers, filled with antiques, in the Louvre, in a gallery, of artistic treasures"
balcony,setting,"a balcony, a yard, a courtyard",,in the backyard,high fiving,"balcony a balcony, a yard, a courtyard  in the backyard"
bank exterior,setting,a bank,business,"at the bank, on Wall Street, in a bank, robbing banks, ",paying,"bank exterior a bank business at the bank, on Wall Street, in a bank, robbing banks, "
bank,setting,a bank,business,"at the bank, in a bank, robbing banks",paying,"bank a bank business at the bank, in a bank, robbing banks"
bar,setting,"a bar, a barroom, a bar room, a nightclub, a tavern",,"in a nightclub, in a bar, at a bar, in a saloon, in the saloon, in the village pub","drinking, sipping, slurping","bar a bar, a barroom, a bar room, a nightclub, a tavern  in a nightclub, in a bar, at a bar, in a saloon, in the saloon, in the village pub"
bedroom,setting,"a bedroom, a boudoir","a dream, dreams, dreaming, a sleep, sleeping","in the sack, in a hotel, in the sheets, in the bedroom, on the bed, in a bedroom, writing about sex, writing erotic fiction, in a whore house","dressing, nude","bedroom a bedroom, a boudoir a dream, dreams, dreaming, a sleep, sleeping in the sack, in a hotel, in the sheets, in the bedroom, on the bed, in a bedroom, writing about sex, writing erotic fiction, in a whore house"
battlefield,setting,"a battlefield, a warzone, a war zone","a nightmare world, military","of the war, of violence, in the war, in the fight, in the struggle, on the battlefield, of ruined buildings, of war, from the war, through the minefield, in the ghetto, in a war zone, writing about social problems",fighting,"battlefield a battlefield, a warzone, a war zone a nightmare world, military of the war, of violence, in the war, in the fight, in the struggle, on the battlefield, of ruined buildings, of war, from the war, through the minefield, in the ghetto, in a war zone, writing about social problems"
blizzard,setting,"a blizzard, a snow storm, winter, an ice storm","a stormy day, an avalanche, a snowy afternoon","of snow, in the snow, in the winter, in a snowstorm, covered with snow, from the storm, in a hailstorm, in Siberia, in a blizzard","shielding with umbrella, shielding behind umbrella","blizzard a blizzard, a snow storm, winter, an ice storm a stormy day, an avalanche, a snowy afternoon of snow, in the snow, in the winter, in a snowstorm, covered with snow, from the storm, in a hailstorm, in Siberia, in a blizzard"
boat dock,setting,"a dock, a boat dock, the docks, a port",a shipyard,"building a wooden ark, commanding a pirate ship, fishing for shrimps, partying on yachts, commanding a whaling ship",purposeful,"boat dock a dock, a boat dock, the docks, a port a shipyard building a wooden ark, commanding a pirate ship, fishing for shrimps, partying on yachts, commanding a whaling ship"
boneyard,setting,"a boneyard, a bone yard, a graveyard",,"of dry bones, of human bones, of broken bones, of bones",frowning,"boneyard a boneyard, a bone yard, a graveyard  of dry bones, of human bones, of broken bones, of bones"
boulevard,setting,"a boulevard, an avenue, a street","the road, a road","in the street, on the street, on the streets, in the road",purposeful,"boulevard a boulevard, an avenue, a street the road, a road in the street, on the street, on the streets, in the road"
building site,setting,a building site,"cement, the construction industry, structure","of architecture, from city life, from urban life, of wet cement, designing modern buildings, developing real estate, investing in real estate",building,"building site a building site cement, the construction industry, structure of architecture, from city life, from urban life, of wet cement, designing modern buildings, developing real estate, investing in real estate"
campaign trail,setting,"the campaign trail, a campaign","a party manifesto, politics","for president, in world politics, running for president, campaigning for consumer rights, campaigning for democracy, fighting for democracy, promoting political causes, running for governor, running for the presidency",campaigning,"campaign trail the campaign trail, a campaign a party manifesto, politics for president, in world politics, running for president, campaigning for consumer rights, campaigning for democracy, fighting for democracy, promoting political causes, running for governor, running for the presidency"
cave rocks,setting,a cave,"a plain rock, rocks","of rocks, on a rock, of rubble, of stones, of broken rocks, of radioactive rubble, of sharp rocks, on a cave wall, on the rocks, full of rocks, pedalling engine-less cars",slogging,"cave rocks a cave a plain rock, rocks of rocks, on a rock, of rubble, of stones, of broken rocks, of radioactive rubble, of sharp rocks, on a cave wall, on the rocks, full of rocks, pedalling engine-less cars"
cave,setting,a cave,,"in a cave, on a cave wall, full of rocks, pedalling engine-less cars",slogging,"cave a cave  in a cave, on a cave wall, full of rocks, pedalling engine-less cars"
changing room,setting,"a changing room, a fitting room",clothing,for clothes,styling,"changing room a changing room, a fitting room clothing for clothes"
church,setting,"a church, a chapel, a temple","a shrine, a cathedral, a Christian house, a Christian place, religion","in a church, in a temple, in a parish, of the church, in the church, of a church, of sacred sounds, at a wedding, at church, in the temple, through a stained glass window, on a temple, on a synagogue, in a nunnery, during morning mass, of god, of God, in a convent, in a monastery, at mass, at church, at midnight mass, in a midnight choir",blessing,"church a church, a chapel, a temple a shrine, a cathedral, a Christian house, a Christian place, religion in a church, in a temple, in a parish, of the church, in the church, of a church, of sacred sounds, at a wedding, at church, in the temple, through a stained glass window, on a temple, on a synagogue, in a nunnery, during morning mass, of god, of God, in a convent, in a monastery, at mass, at church, at midnight mass, in a midnight choir"
city gates,setting,"a gate, a fort, a fortress",,with high walls,purposeful,"city gates a gate, a fort, a fortress  with high walls"
courthouse,setting,"a courthouse, a court house","a court, law","for social justice, in the court, of the court, to justice everywhere, of justice, in the courts, in the courtroom, for the courts, to the courthouse, in court, writing legal fiction",stepping up,"courthouse a courthouse, a court house a court, law for social justice, in the court, of the court, to justice everywhere, of justice, in the courts, in the courtroom, for the courts, to the courthouse, in court, writing legal fiction"
cliff edge,setting,"a cliff, a cliff edge",,on the edge,purposeful,"cliff edge a cliff, a cliff edge  on the edge"
courthouse exterior,setting,"a courthouse, a court house","a court, law","in the court, of the court, to justice everywhere, of justice, in the courts, in the courtroom, for the courts, to the courthouse, in court, writing legal fiction",thinking,"courthouse exterior a courthouse, a court house a court, law in the court, of the court, to justice everywhere, of justice, in the courts, in the courtroom, for the courts, to the courthouse, in court, writing legal fiction"
clouds,setting,"a cloud, a cloudy day",the clouds,"in the clouds, in a cloud, on a cloud, of holy light",using umbrella,"clouds a cloud, a cloudy day the clouds in the clouds, in a cloud, on a cloud, of holy light"
comedy club,setting,a comedy club,,"performing stand-up, writing funny movies, writing comedy","laughing, chuckling, satirizing","comedy club a comedy club  performing stand-up, writing funny movies, writing comedy"
courtyard,setting,a courtyard,in a backyard,in the garden,pointing,courtyard a courtyard in a backyard in the garden
dark city,setting,a city,a dark night,through the darkness,worried,dark city a city a dark night through the darkness
dark forest,setting,"a forest, the jungle, a jungle, a wood, a woods",,"in the woods, in the forest, in the jungle, through the jungle, of the jungle, in a jungle, in a forest, through the forest, through the darkness, of the forest, fighting guerilla wars, into the jungle","worried, slogging","dark forest a forest, the jungle, a jungle, a wood, a woods  in the woods, in the forest, in the jungle, through the jungle, of the jungle, in a jungle, in a forest, through the forest, through the darkness, of the forest, fighting guerilla wars, into the jungle"
dawn of man,setting,the dawn,,"at the dawn of time, at the beginning of time",slogging,"dawn of man the dawn  at the dawn of time, at the beginning of time"
debate stage,setting,"a stage, a debate stage, a discussion",,"of rhetoric, fighting for civil rights",campaigning,"debate stage a stage, a debate stage, a discussion  of rhetoric, fighting for civil rights"
distant volcano,setting,a volcano,,"of black smoke, of chaos, of molten lava, of sullen volcanoes, in a volcano, of Mount Vesuvius",sweating,"distant volcano a volcano  of black smoke, of chaos, of molten lava, of sullen volcanoes, in a volcano, of Mount Vesuvius"
desert,setting,"a desert, a wilderness","a smoggy summer afternoon, a 100 degree day, a cactus, a drought, a sandstorm, a desert landscape, a desert world, death valley, global warming, climate change","across the desert, in the wild, in the desert, in the wilderness, of sand, in the Sahara, with no water, in the sun, without water, in a desert, of climate change, of the sun, through the wilderness, on global warming, in the Sahara Desert in July, in Saudi Arabia, through the dunes, through the desert, in the summer, in the Gobi, on a desert island, during a drought, from the sun, for the sun, on the sun, from the heat, in the Mohave Desert, in a sandstorm, at high noon, in Death Valley, in a very flat desert, on a hot summer's day, left in the sun, on a hot summer day, on a hot day, of global warming, of sunshine, during the summer, for global warming, in direct sunlight, campaigning for environmental causes, lecturing about climate change, pedalling engine-less cars, left out in direct sunlight","slogging, sweating","desert a desert, a wilderness a smoggy summer afternoon, a 100 degree day, a cactus, a drought, a sandstorm, a desert landscape, a desert world, death valley, global warming, climate change across the desert, in the wild, in the desert, in the wilderness, of sand, in the Sahara, with no water, in the sun, without water, in a desert, of climate change, of the sun, through the wilderness, on global warming, in the Sahara Desert in July, in Saudi Arabia, through the dunes, through the desert, in the summer, in the Gobi, on a desert island, during a drought, from the sun, for the sun, on the sun, from the heat, in the Mohave Desert, in a sandstorm, at high noon, in Death Valley, in a very flat desert, on a hot summer's day, left in the sun, on a hot summer day, on a hot day, of global warming, of sunshine, during the summer, for global warming, in direct sunlight, campaigning for environmental causes, lecturing about climate change, pedalling engine-less cars, left out in direct sunlight"
drawbridge,setting,"a drawbridge, a bridge, a castle",a moat,"in a castle, with a moat, in the castle",knightly,"drawbridge a drawbridge, a bridge, a castle a moat in a castle, with a moat, in the castle"
drawing board,setting,"a studio, a drawing board",,"in the studio, in a studio","designing, creating","drawing board a studio, a drawing board  in the studio, in a studio"
dungeon,setting,"a dungeon, a basement","the basement, the dungeon, the cellar, a cellar","in the basement, in a cage, in the cellar, in a dungeon, from the dungeon",suspecting,"dungeon a dungeon, a basement the basement, the dungeon, the cellar, a cellar in the basement, in a cage, in the cellar, in a dungeon, from the dungeon"
embankment,setting,an embankment,a landslide,of rocks,stepping down,embankment an embankment a landslide of rocks
farm,setting,"a farm, farmland, a ranch",,"in the grass, in the land, in the field, of the environment, on a plantation, in the countryside",farming,"farm a farm, farmland, a ranch  in the grass, in the land, in the field, of the environment, on a plantation, in the countryside"
factory,setting,a factory,"an industry, a manufacturer","in a factory, fighting for worker's rights, making cars, mass-producing cars, running assembly lines, in a glass factory",carrying,"factory a factory an industry, a manufacturer in a factory, fighting for worker's rights, making cars, mass-producing cars, running assembly lines, in a glass factory"
foothills,setting,"a pile, a hill",a hillside,"on a hill, of the hill","stepping up, slogging","foothills a pile, a hill a hillside on a hill, of the hill"
forest path,setting,"a path, a forest, a wood, a woods",,"in the woods, in the forest, of the forest, writing folksy fiction",pointing,"forest path a path, a forest, a wood, a woods  in the woods, in the forest, of the forest, writing folksy fiction"
forest trail,setting,"a trail, a forest, a wood, a woods",,"in the woods, in the forest, writing folksy fiction",pointing,"forest trail a trail, a forest, a wood, a woods  in the woods, in the forest, writing folksy fiction"
forked path,setting,"a path, a fork",a landscape,"at a crossroads, of forking paths, writing folksy fiction",guessing,"forked path a path, a fork a landscape at a crossroads, of forking paths, writing folksy fiction"
forest,setting,"a forest, a jungle, the jungle",,"in the jungle, through the jungle, of the jungle, into the jungle",pointing,"forest a forest, a jungle, the jungle  in the jungle, through the jungle, of the jungle, into the jungle"
forge,setting,"a forge, a smithy","a furnace, an oven, a blast furnace","of molten slag, of molten metal",sweating,"forge a forge, a smithy a furnace, an oven, a blast furnace of molten slag, of molten metal"
gravel path,setting,"a path, gravel, a grave path",,through a gravel pit,slogging,"gravel path a path, gravel, a grave path  through a gravel pit"
government,setting,"a government, the government, the congress","a parliament, the state, a government promise","of the state, for the government, to citizenship, to the state, of the government, in the capital, to the government, in the White House, fighting for democracy, running for the presidency, running for the senate, writing hawkish memos",campaigning,"government a government, the government, the congress a parliament, the state, a government promise of the state, for the government, to citizenship, to the state, of the government, in the capital, to the government, in the White House, fighting for democracy, running for the presidency, running for the senate, writing hawkish memos"
gates of hell,setting,hell,a burning pit,"of the underworld, of the devil, of damnation, to hell",scared,"gates of hell hell a burning pit of the underworld, of the devil, of damnation, to hell"
frozen in ice,setting,ice,"a freezer, the cold, ice, a fridge, an ice cube","of the past, in the Arctic, on an ice rink, on the Titanic, made of ice, of ice, in ice, on ice, playing ice hockey",shivering,"frozen in ice ice a freezer, the cold, ice, a fridge, an ice cube of the past, in the Arctic, on an ice rink, on the Titanic, made of ice, of ice, in ice, on ice, playing ice hockey"
graveyard,setting,"a graveyard, a grave yard, a cemetery",,"of the dead, of death, to the grave, in hallowed ground, to the dead, in a cemetery, in a graveyard, of dead babies, filled with headstones, on the grave","sad, frowning, disappointed","graveyard a graveyard, a grave yard, a cemetery  of the dead, of death, to the grave, in hallowed ground, to the dead, in a cemetery, in a graveyard, of dead babies, filled with headstones, on the grave"
graveyard with walls,setting,"a graveyard, a grave yard, a cemetery",a churchyard,"of the dead, of death, to the grave, in hallowed ground, to the dead, in a cemetery, in a graveyard, of dead babies, filled with headstones, in the churchyard, on the grave","sad, frowning, disappointed","graveyard with walls a graveyard, a grave yard, a cemetery a churchyard of the dead, of death, to the grave, in hallowed ground, to the dead, in a cemetery, in a graveyard, of dead babies, filled with headstones, in the churchyard, on the grave"
guillotine,setting,"a guillotine, the chopping block","a death sentence, the guillotine",on death row,scared,"guillotine a guillotine, the chopping block a death sentence, the guillotine on death row"
haunted house,setting,"a graveyard, a grave yard, a haunted house",a ghost house,"of haunting beauty, haunted by apparitions, haunted by memories, haunted by the past",scared,"haunted house a graveyard, a grave yard, a haunted house a ghost house of haunting beauty, haunted by apparitions, haunted by memories, haunted by the past"
gym,setting,"a gym, a gymnasium",,"in the gym, at the gym, in a gym",training,"gym a gym, a gymnasium  in the gym, at the gym, in a gym"
hospital,setting,"a hospital, a clinic","an emergency room, the emergency room, the ER, a hospital ward, hospitalization, medicine","in a hospital, at the hospital, in the hospital, in the emergency room, to an emergency ward, in a tuberculosis ward, to the emergency room","sick, aching","hospital a hospital, a clinic an emergency room, the emergency room, the ER, a hospital ward, hospitalization, medicine in a hospital, at the hospital, in the hospital, in the emergency room, to an emergency ward, in a tuberculosis ward, to the emergency room"
hospital exterior,setting,"a hospital, a clinic","an ambulance, medicine","in a hospital, at the hospital, of hospital bills, on a hospital",sick,"hospital exterior a hospital, a clinic an ambulance, medicine in a hospital, at the hospital, of hospital bills, on a hospital"
high windows exterior,setting,a wall,,on the wall,purposeful,high windows exterior a wall  on the wall
high windows interior,setting,a wall,,,purposeful,high windows interior a wall  
hotel,setting,"a hotel, a motel, ",a resort,"in Las Vegas, in a hotel, on a hotel building, at the Ritz",visiting,"hotel a hotel, a motel,  a resort in Las Vegas, in a hotel, on a hotel building, at the Ritz"
interview room,setting,an interview room,,"for media attention, in an interview, of media coverage, on press freedom, during an interview, to press freedom, during a conference, at a press conference, interviewing celebrities, interviewing politicians","speaking, questioning","interview room an interview room  for media attention, in an interview, of media coverage, on press freedom, during an interview, to press freedom, during a conference, at a press conference, interviewing celebrities, interviewing politicians"
lava,setting,"a volcano, an earthquake","a disaster, a fire storm, the eruption, lava, the lava, a meltdown, a melting pot","of chaos, of lava, of molten lava, of molten slag, to destruction, to disaster, of impending doom, of havoc, of devastation, on shaky ground, of physical destruction, of unimaginable destruction, in complete chaos, of hot mud, of molten rock, of magma, of disaster, from chaos, for disaster, from turmoil, in a volcano, in an earthquake, of Mount Vesuvius, of an earthquake, for catastrophe","sweating, falling","lava a volcano, an earthquake a disaster, a fire storm, the eruption, lava, the lava, a meltdown, a melting pot of chaos, of lava, of molten lava, of molten slag, to destruction, to disaster, of impending doom, of havoc, of devastation, on shaky ground, of physical destruction, of unimaginable destruction, in complete chaos, of hot mud, of molten rock, of magma, of disaster, from chaos, for disaster, from turmoil, in a volcano, in an earthquake, of Mount Vesuvius, of an earthquake, for catastrophe"
iron throne,setting,"a throne room, a throneroom, the throne room, the throneroom","a kingdom, the throne, royalty","with absolute power, of the regime, running a kingdom, of thrones",bowing,"iron throne a throne room, a throneroom, the throne room, the throneroom a kingdom, the throne, royalty with absolute power, of the regime, running a kingdom, of thrones"
kitchen,setting,a kitchen,"a home, a household, a microwave, home","in the kitchen, in a microwave, in the cupboard, in the microwave, on the kitchen table, writing cook books, writing pot-boilers",cooking,"kitchen a kitchen a home, a household, a microwave, home in the kitchen, in a microwave, in the cupboard, in the microwave, on the kitchen table, writing cook books, writing pot-boilers"
laboratory,setting,"a lab, a laboratory","a secret lab, science","in the making, of science fiction, in a laboratory, in a lab, of scientific research, in the laboratory, in science, of Star Trek, for scientific research, of science fantasy, writing horror stories, writing weird movies",experimenting,"laboratory a lab, a laboratory a secret lab, science in the making, of science fiction, in a laboratory, in a lab, of scientific research, in the laboratory, in science, of Star Trek, for scientific research, of science fantasy, writing horror stories, writing weird movies"
laundrette,setting,a laundrette,laundry,"of week old undies, in a washing machine",cleaning,"laundrette a laundrette laundry of week old undies, in a washing machine"
library,setting,"a library, a book store, a bookstore","a librarian, education","of reference books, of library books, filled with books, full of books, to the library, in a library, writing novels",reading,"library a library, a book store, a bookstore a librarian, education of reference books, of library books, filled with books, full of books, to the library, in a library, writing novels"
lighthouse,setting,a lighthouse,,"of troubled waters, across the sea",pointing,"lighthouse a lighthouse  of troubled waters, across the sea"
lightning,setting,"lightning, a lightning storm, an electrical storm, a maelstrom","a thunderstorm, a firestorm, a stormy day","in a thunderstorm, in a storm, in the storm, during a thunderstorm, from the storm, of thunder, from chaos, watching a lightning storm, of lightning",shielding behind umbrella,"lightning lightning, a lightning storm, an electrical storm, a maelstrom a thunderstorm, a firestorm, a stormy day in a thunderstorm, in a storm, in the storm, during a thunderstorm, from the storm, of thunder, from chaos, watching a lightning storm, of lightning"
low trench,setting,"a trench, a pit",,"in a pit, in the gutter, in the trenches",slogging,"low trench a trench, a pit  in a pit, in the gutter, in the trenches"
luggage belt,setting,a luggage belt,,,visiting,luggage belt a luggage belt  
marshlands with bodies,setting,"a marsh, a marshland, a bog, a mire, a quagmore, a morass, a wasteland","toxic waste, a massacre","in the wild, in the wilderness, of the dead, of violence, of corpses, of dead bodies, of human corpses, of mangled bodies, of bodies, of ruined lives, of broken lives, of broken bodies, of rotting corpses, littered with dead bodies, filled with decapitated bodies, in toxic waste,  to a toxic waste site, in a wasteland, full of carcasses",slogging,"marshlands with bodies a marsh, a marshland, a bog, a mire, a quagmore, a morass, a wasteland toxic waste, a massacre in the wild, in the wilderness, of the dead, of violence, of corpses, of dead bodies, of human corpses, of mangled bodies, of bodies, of ruined lives, of broken lives, of broken bodies, of rotting corpses, littered with dead bodies, filled with decapitated bodies, in toxic waste,  to a toxic waste site, in a wasteland, full of carcasses"
marshlands,setting,"a marsh, a marshland, a bog, a mire, a quagmore",,"in the wild, in the wilderness",slogging,"marshlands a marsh, a marshland, a bog, a mire, a quagmore  in the wild, in the wilderness"
mordor,setting,"hell, a hellzone","a hell, a monstrous world, a fantasy world, a hobbit","of the underworld, of fear, in a fantasy movie, making fantasy movies, writing horror stories, writing Hollywood movies, through Hell, through hell, in hell, of Middle Earth",slogging,"mordor hell, a hellzone a hell, a monstrous world, a fantasy world, a hobbit of the underworld, of fear, in a fantasy movie, making fantasy movies, writing horror stories, writing Hollywood movies, through Hell, through hell, in hell, of Middle Earth"
mountain pass,setting,a mountain pass,nature,"in the mountains, through the mountains, across the mountains",slogging,"mountain pass a mountain pass nature in the mountains, through the mountains, across the mountains"
airplane interior,setting,an airplane,,"in an airplane, on an airplane",transported,"airplane interior an airplane  in an airplane, on an airplane"
apocalypse,setting,the apocalypse,"a nuclear winter, doomsday",surviving in a post-apocalyptic world,defiant,"apocalypse the apocalypse a nuclear winter, doomsday surviving in a post-apocalyptic world"
mountain trail,setting,"a trail, a mountain trail, ",nature,"in the mountains, through the mountains, across the mountains",slogging,"mountain trail a trail, a mountain trail,  nature in the mountains, through the mountains, across the mountains"
mountain trees,setting,"trees, a wood, a woods, a forest","the trees, nature","in the woods, in the mountains, in a tree, in the trees",slogging,"mountain trees trees, a wood, a woods, a forest the trees, nature in the woods, in the mountains, in a tree, in the trees"
mountain view,setting,a mountain,nature,"of epic proportions, in the mountains, in the summer, in the himalayas, in the mountain, of the Himalayas, on Space Mountain",towering,"mountain view a mountain nature of epic proportions, in the mountains, in the summer, in the himalayas, in the mountain, of the Himalayas, on Space Mountain"
mud and rats,setting,"mud, a mire, a bog, a quagmire, a swamp",a sewer,"in the wild, of raw sewage, in a sewer, in the mud, of muddy water, in mud","slogging, stepping over","mud and rats mud, a mire, a bog, a quagmire, a swamp a sewer in the wild, of raw sewage, in a sewer, in the mud, of muddy water, in mud"
muddy rubbish dump,setting,"a rubbish dump, a dump, a landfill","a dumpster, an eyesore, trash, rubbish, a compost pile","of garbage, of trash, of discarded wrapping, of rubbish, in a junkyard, of wreckage, of old junk, of old crap, of useless junk, of toxic garbage decay, in toxic waste,  in toxic waste, to the garbage dump, in mud, in the trash, full of rubbish, full of garbage","slogging, stepping over, holding nose","muddy rubbish dump a rubbish dump, a dump, a landfill a dumpster, an eyesore, trash, rubbish, a compost pile of garbage, of trash, of discarded wrapping, of rubbish, in a junkyard, of wreckage, of old junk, of old crap, of useless junk, of toxic garbage decay, in toxic waste,  in toxic waste, to the garbage dump, in mud, in the trash, full of rubbish, full of garbage"
nightsky,setting,"the night sky, the sky","a night, nature","in the sky, in the night, in the dark, from outer space, in the moonlight, on the horizon, of darkness, to the heavens, to the sky, in the heavens, in the stars, of the unknown","pointing, stargazing","nightsky the night sky, the sky a night, nature in the sky, in the night, in the dark, from outer space, in the moonlight, on the horizon, of darkness, to the heavens, to the sky, in the heavens, in the stars, of the unknown"
north by northwest,setting,"a monument, a national park",,"for tourists, for the ages",pointing,"north by northwest a monument, a national park  for tourists, for the ages"
ocean,setting,"the ocean, an ocean, an infinite ocean","a tsunami, an ancient ocean, a flood,  a deluge, a flood of waters, the water, a stormy sea, a freak wave, a tidal wave","in the water, at sea, in the ocean, of troubled waters, with severe flooding, of mighty waters, across the sea, from the sea, in a flood, living in the ocean, in the sea, living in the ocean, surviving large-scale floods","surfing, rowing","ocean the ocean, an ocean, an infinite ocean a tsunami, an ancient ocean, a flood,  a deluge, a flood of waters, the water, a stormy sea, a freak wave, a tidal wave in the water, at sea, in the ocean, of troubled waters, with severe flooding, of mighty waters, across the sea, from the sea, in a flood, living in the ocean, in the sea, living in the ocean, surviving large-scale floods"
office 2,setting,"an office, a workplace",business,"in the workplace, during office hours, in an office, of office politics, at the office",working,"office 2 an office, a workplace business in the workplace, during office hours, in an office, of office politics, at the office"
office,setting,"an office, a workplace",business,"in the workplace, during office hours, in an office, of office politics, at the office",working,"office an office, a workplace business in the workplace, during office hours, in an office, of office politics, at the office"
open city gates,setting,"a gate, a city","a gateway, royalty","at the door, with open gates, in the doorway",visiting,"open city gates a gate, a city a gateway, royalty at the door, with open gates, in the doorway"
park bench,setting,"a park, a park bench, central park",,"in Central Park, in the park, at the park, on a park bench, in Hyde Park",rollerskating,"park bench a park, a park bench, central park  in Central Park, in the park, at the park, on a park bench, in Hyde Park"
park night,setting,a park,a night,"in the moonlight, of darkness, on a moonlit night",rewarding,"park night a park a night in the moonlight, of darkness, on a moonlit night"
police lineup,setting,"police lineup, a lineup, an identity parade","a mug shot, law",writing crime stories,thinking,"police lineup police lineup, a lineup, an identity parade a mug shot, law writing crime stories"
police state,setting,"a police state, a theocracy, a dictatorship","a regime, a government crackdown, communism, marxism, a communist regime, a regime, a marxist regime, a communist, a marxist, socialism","of the regime, with absolute power, for political prisoners, of the oppressed, in a totalitarian state, of the Soviet Union,  in North Korea, of oppression",gagged,"police state a police state, a theocracy, a dictatorship a regime, a government crackdown, communism, marxism, a communist regime, a regime, a marxist regime, a communist, a marxist, socialism of the regime, with absolute power, for political prisoners, of the oppressed, in a totalitarian state, of the Soviet Union,  in North Korea, of oppression"
police station,setting,a police station,law,"of injustice, writing detective fiction, writing crime stories, writing mystery stories",worried,"police station a police station law of injustice, writing detective fiction, writing crime stories, writing mystery stories"
polling station,setting,a polling station,"a ballot, a vote, an election, politics","in an election, at the polls",voting for,"polling station a polling station a ballot, a vote, an election, politics in an election, at the polls"
prison,setting,"a prison, a jail",,"in prison, in jail",chained,"prison a prison, a jail  in prison, in jail"
rain and clouds,setting,"rain, a cloud, a raincloud","a mist, a cloudy day, a wet weekend, a rainy day, a huge cloud, the fog","in the mist, in the rain, in the clouds, in a fog, in bad weather, in a cloud, in dense fog, in the fog",using umbrella,"rain and clouds rain, a cloud, a raincloud a mist, a cloudy day, a wet weekend, a rainy day, a huge cloud, the fog in the mist, in the rain, in the clouds, in a fog, in bad weather, in a cloud, in dense fog, in the fog"
rain,setting,rain,"a wet weekend, a rainy day, a rain storm, a downpour","in the mist, in the rain, in a fog, in bad weather, in the fog",using umbrella,"rain rain a wet weekend, a rainy day, a rain storm, a downpour in the mist, in the rain, in a fog, in bad weather, in the fog"
rainbow,setting,"a rainbow, a sunny day","an ideal setting, a utopia, a dream world","in good times, for gay rights, in the sunshine, on a sunny day, for utopia, for good weather, hosting a gay pride rally, of sunshine, at the end of the rainbow, of dreams, over the rainbow",rollerskating,"rainbow a rainbow, a sunny day an ideal setting, a utopia, a dream world in good times, for gay rights, in the sunshine, on a sunny day, for utopia, for good weather, hosting a gay pride rally, of sunshine, at the end of the rainbow, of dreams, over the rainbow"
restaurant exterior,setting,a restaurant,,"at a restaurant, at a fancy dinner, running restaurants",purposeful,"restaurant exterior a restaurant  at a restaurant, at a fancy dinner, running restaurants"
rainy forest,setting,"a forest, a jungle, the jungle",,"in the forest, in the jungle, through the jungle, of the jungle",using umbrella,"rainy forest a forest, a jungle, the jungle  in the forest, in the jungle, through the jungle, of the jungle"
